source_table,source_field,source_code,target_table,target_field,target_code,target_desc,target_domain
pipes,Owner,Morewood Heights Associates,SewerStormwater_Segments,OWNER_NAME,PRES-HA,,domain_trww_owners
pipes,Owner,Mount Oliver Borough,SewerStormwater_Segments,OWNER_NAME,MOLI,,domain_trww_owners
pipes,Owner,Mt. Lebanon,SewerStormwater_Segments,OWNER_NAME,MLEB,,domain_trww_owners
pipes,Owner,Munhall Borough,SewerStormwater_Segments,OWNER_NAME,MUNH,,domain_trww_owners
pipes,Owner,PA American Water,SewerStormwater_Segments,OWNER_NAME,PAAW,,domain_trww_owners
pipes,Owner,Penn Hills,SewerStormwater_Segments,OWNER_NAME,PHWP,,domain_trww_owners
pipes,Owner,PennDOT,SewerStormwater_Segments,OWNER_NAME,PDOT,,domain_trww_owners
pipes,Owner,Pittsburgh and West Virginia Railroad,SewerStormwater_Segments,OWNER_NAME,RAIL-PWVR,,domain_trww_owners
pipes,Owner,Pittsburgh Public Schools,SewerStormwater_Segments,OWNER_NAME,PINT-PPS,,domain_trww_owners
pipes,Owner,Point Park University,SewerStormwater_Segments,OWNER_NAME,PINT-PPU,,domain_trww_owners
pipes,Owner,PWSA,SewerStormwater_Segments,OWNER_NAME,PWSA,,domain_trww_owners
pipes,Owner,PWSA to ACSA,SewerStormwater_Segments,OWNER_NAME,PWSA,,domain_trww_owners
pipes,Owner,PWSA to ACSA Add,SewerStormwater_Segments,OWNER_NAME,PWSA,,domain_trww_owners
pipes,Owner,PWSA to ACSA Verify,SewerStormwater_Segments,OWNER_NAME,PWSA,,domain_trww_owners
pipes,Owner,Reserve Township,SewerStormwater_Segments,OWNER_NAME,RESE,,domain_trww_owners
pipes,Owner,Swissvale Borough,SewerStormwater_Segments,OWNER_NAME,SWIS,,domain_trww_owners
pipes,Owner,University of Pittsburgh,SewerStormwater_Segments,OWNER_NAME,PINT-PITT,,domain_trww_owners
pipes,Owner,Unknown,SewerStormwater_Segments,OWNER_NAME,UK,,domain_trww_owners
pipes,Owner,West Homestead Borough,SewerStormwater_Segments,OWNER_NAME,WHOM,,domain_trww_owners
pipes,Owner,West Mifflin Borough,SewerStormwater_Segments,OWNER_NAME,WMIF,,domain_trww_owners
pipes,Owner,Whitehall Borough,SewerStormwater_Segments,OWNER_NAME,WHAL,,domain_trww_owners
pipes,Owner,Wilkinsburg Borough,SewerStormwater_Segments,OWNER_NAME,WILK,,domain_trww_owners
pipes,Sewer_Use,ABN,SewerStormwater_Segments,SEWERTYPE,UK,,domain_trww_sewertype
pipes,Sewer_Use,COM,SewerStormwater_Segments,SEWERTYPE,COM,,domain_trww_sewertype
pipes,Sewer_Use,FM,SewerStormwater_Segments,SEWERTYPE,FM,,domain_trww_sewertype
pipes,Sewer_Use,INT,SewerStormwater_Segments,SEWERTYPE,SAN,,domain_trww_sewertype
pipes,Sewer_Use,OVF,SewerStormwater_Segments,SEWERTYPE,OVF,,domain_trww_sewertype
pipes,Sewer_Use,PVT,SewerStormwater_Segments,SEWERTYPE,UK,,domain_trww_sewertype
pipes,Sewer_Use,PVTCOM,SewerStormwater_Segments,SEWERTYPE,COM,,domain_trww_sewertype
pipes,Sewer_Use,PVTOVF,SewerStormwater_Segments,SEWERTYPE,OVF,,domain_trww_sewertype
pipes,Sewer_Use,PVTRCOM,SewerStormwater_Segments,SEWERTYPE,COM,,domain_trww_sewertype
pipes,Sewer_Use,PVTSAN,SewerStormwater_Segments,SEWERTYPE,SAN,,domain_trww_sewertype
pipes,Sewer_Use,PVTSTM,SewerStormwater_Segments,SEWERTYPE,STM,,domain_trww_sewertype
pipes,Sewer_Use,RCOM,SewerStormwater_Segments,SEWERTYPE,COM,,domain_trww_sewertype
pipes,Sewer_Use,SAN,SewerStormwater_Segments,SEWERTYPE,SAN,,domain_trww_sewertype
pipes,Sewer_Use,STM,SewerStormwater_Segments,SEWERTYPE,STM,,domain_trww_sewertype
pipes,Sewer_Use,UND,SewerStormwater_Segments,SEWERTYPE,,,domain_trww_sewertype
pipes,Shape_1, ,SewerStormwater_Segments,PIPE_SHAPE,,,domain_trww_pipe_shape
pipes,Shape_1,A,SewerStormwater_Segments,PIPE_SHAPE,A,,domain_trww_pipe_shape
pipes,Shape_1,B,SewerStormwater_Segments,PIPE_SHAPE,B,,domain_trww_pipe_shape
pipes,Shape_1,C,SewerStormwater_Segments,PIPE_SHAPE,C,,domain_trww_pipe_shape
pipes,Shape_1,c,SewerStormwater_Segments,PIPE_SHAPE,C,,domain_trww_pipe_shape
pipes,Shape_1,E,SewerStormwater_Segments,PIPE_SHAPE,E,,domain_trww_pipe_shape
pipes,Shape_1,O,SewerStormwater_Segments,PIPE_SHAPE,O,,domain_trww_pipe_shape
pipes,Shape_1,R,SewerStormwater_Segments,PIPE_SHAPE,R,,domain_trww_pipe_shape
pipes,Shape_1,S,SewerStormwater_Segments,PIPE_SHAPE,S,,domain_trww_pipe_shape
pipes,Shape_1,U,SewerStormwater_Segments,PIPE_SHAPE,U,,domain_trww_pipe_shape
pipes,Status, ,SewerStormwater_Segments,STATUS_LN,,,
pipes,Status,ABN,SewerStormwater_Segments,STATUS_LN,ABND,,
pipes,Status,PVT,SewerStormwater_Segments,STATUS_LN,,,
