source_field,target_field,source_code,target_code,target_desc
SRC_AREA,SRC_AREA,WestHomestead,WHOM,West Homestead Borough
SRC_AREA,SRC_AREA,Wilkinsburg,WILK,Wilkinsburg Borough
SRC_AREA,SRC_AREA,Wilmerding,WILM,Wilmerding Borough
SRC_AREA,SRC_AREA,WilkinsTwp,WILT,Wilkins Township
SRC_AREA,SRC_AREA,WestMifflin,WMIF,West Mifflin Borough
SRC_AREA,SRC_AREA,WestView,WVIE,West View Borough
SRC_AREA,SRC_AREA,WestView-GirtysRun,WVIE-GRJS,WestView-GirtysRun
SRC_BASIN,SRC_BASIN, ,,
SRC_BASIN,SRC_BASIN,,,
SRC_BASIN,SRC_BASIN,CC,CC,Chartiers Creek
SRC_BASIN,SRC_BASIN,LOGR,LOGR,Lower Ohio River / Girty's Run
SRC_BASIN,SRC_BASIN,MR,MR,Main Rivers
SRC_BASIN,SRC_BASIN,SMR,SMR,Saw Mill Run
SRC_BASIN,SRC_BASIN,TT,TC,Turtle Creek
SRC_BASIN,SRC_BASIN,UA,UA,Upper Allegheny / Pine Creek
SRC_BASIN,SRC_BASIN,UM,UM,Upper Monogehela
STATUS_LN,STATUS_LN,? ? ? ? ?,UK,Unknown
STATUS_LN,STATUS_LN,ABN,ABND,Abandoned
STATUS_LN,STATUS_LN,ABN?,UK,Unknown
STATUS_LN,STATUS_LN,ACT,ACTV,Active
